match_id,team_name,player_name,minute,second,period,location_x,location_y,play_pattern_name,shot_statsbomb_xg,shot_outcome_name,shot_type_name,shot_technique_name,shot_body_part_name,shot_first_time,shot_one_on_one,shot_open_goal,shot_aerial_won,under_pressure
3942226,Germany,Jonathan Tah,24,39,1,109.2,32.9,From Free Kick,0.021546038,Blocked,Open Play,Normal,Head,,,,True,True
3942226,Germany,Kai Havertz,34,13,1,102.7,39.0,Regular Play,0.154297,Saved,Open Play,Half Volley,Right Foot,,,,,
3942226,Spain,Daniel Olmo Carvajal,38,47,1,92.1,45.5,From Throw In,0.029002221,Saved,Open Play,Normal,Right Foot,,,,,
3942226,Spain,Lamine Yamal Nasraoui Ebana,44,51,1,89.1,49.3,Regular Play,0.027097616,Saved,Open Play,Normal,Left Foot,,,,,True
3942226,Spain,Álvaro Borja Morata Martín,46,48,2,112.2,43.8,From Free Kick,0.15766257,Off T,Open Play,Normal,Right Foot,,,,,True
3942226,Germany,Robert Andrich,47,51,2,96.7,56.2,From Goal Kick,0.020109814,Off T,Open Play,Normal,Right Foot,True,,,,
3942226,Spain,Daniel Olmo Carvajal,51,0,2,103.6,42.7,From Free Kick,0.16316466,Goal,Open Play,Normal,Right Foot,True,,,,
3942226,Germany,Jamal Musiala,54,23,2,98.6,44.9,Regular Play,0.040737197,Blocked,Open Play,Half Volley,Right Foot,,,,,True
3942226,Spain,Nicholas Williams Arthuer,54,53,2,107.4,52.1,Regular Play,0.12471274,Wayward,Open Play,Normal,Left Foot,True,,,,True
3942226,Germany,Florian Wirtz,59,43,2,93.1,39.8,From Throw In,0.028129423,Blocked,Open Play,Normal,Right Foot,,,,,
3942226,Germany,Niclas Füllkrug,63,7,2,111.8,47.0,From Corner,0.046607595,Off T,Open Play,Normal,Head,,,,True,True
3942226,Germany,Robert Andrich,69,1,2,99.8,43.6,Regular Play,0.06904092,Saved,Open Play,Normal,Right Foot,True,,,,
3942226,Germany,Kai Havertz,71,2,2,108.8,33.1,Regular Play,0.08557191,Blocked,Open Play,Normal,Left Foot,,,,,
3942226,Germany,Niclas Füllkrug,71,41,2,110.7,39.3,Regular Play,0.078394026,Off T,Open Play,Normal,Head,,,,True,True
3942226,Germany,Niclas Füllkrug,76,15,2,109.2,42.6,From Throw In,0.10089645,Post,Open Play,Normal,Right Foot,True,,,,True
3942226,Germany,Jamal Musiala,80,43,2,111.0,25.7,From Throw In,0.06056656,Off T,Open Play,Normal,Left Foot,,,,,True
3942226,Germany,Kai Havertz,81,51,2,93.1,21.7,From Goal Kick,0.037947286,Off T,Open Play,Lob,Left Foot,True,,,,
3942226,Spain,Fabián Ruiz Peña,83,31,2,96.6,34.4,From Free Kick,0.04979181,Off T,Open Play,Normal,Left Foot,,,,,
3942226,Germany,Maximilian Mittelstädt,87,8,2,97.2,39.1,From Corner,0.040309463,Blocked,Open Play,Normal,Left Foot,True,,,,
