id,match_id,team_name,player_name,minute,second,period,location_x,location_y,play_pattern_name,shot_statsbomb_xg,shot_outcome_name,shot_type_name,shot_technique_name,shot_body_part_name,shot_first_time,shot_one_on_one,shot_open_goal,shot_aerial_won,under_pressure,defenders_in_cone,nearest_opponent_distance,opponents_within_5m,keeper_distance_to_shot,keeper_distance_to_goal_line,has_360
ae5b54b4-0a61-4ebb-bc6f-05c7d8560165,3941019,France,Antoine Griezmann,64,24,2,97.3,43.1,From Free Kick,0.05479053,Off T,Open Play,Half Volley,Right Foot,,,,,,0.0,2.356520273647376,1.0,19.828673158440758,3.090128427756653,1
bd526b4b-3397-4bca-97bf-345081e16d2f,3941019,France,Aurélien Djani Tchouaméni,68,14,2,94.6,47.3,From Throw In,0.030925188,Off T,Open Play,Normal,Right Foot,True,,,,,1.0,4.140439703963978,1.0,22.32949627133338,3.2280617525867683,1
52e87adf-51ae-4ffc-98bc-70d539925dc0,3941019,Belgium,Romelu Lukaku Menama,70,2,2,109.8,25.7,Regular Play,0.0381186,Saved,Open Play,Normal,Left Foot,,,,,,,,,,,0
2b8267da-1e0e-4d81-97e0-d403e9567d9d,3941019,France,William Saliba,73,42,2,106.1,53.7,From Corner,0.06782964,Off T,Open Play,Normal,Left Foot,,,,,,0.0,2.3388223969690776,1.0,15.522242858721182,3.221945207078207,1
3a9df91e-bc40-4a22-b63c-6704f25c6b27,3941019,France,Kylian Mbappé Lottin,77,51,2,103.1,48.2,From Throw In,0.09472088,Off T,Open Play,Normal,Right Foot,True,,,,,0.0,3.022279324528463,2.0,15.130094505882687,3.123943040386024,1
a3928078-6c73-41ce-96ea-1797fdd11752,3941019,Belgium,Kevin De Bruyne,82,9,2,100.8,31.1,From Free Kick,0.082713604,Saved,Open Play,Normal,Right Foot,True,,,,,0.0,0.5994404638487475,3.0,16.06729031499446,4.154184773389119,1
39768d80-d83c-48b0-ac81-ce6cfd67badd,3941019,France,Randal Kolo Muani,84,28,2,108.7,52.4,Regular Play,0.06305356,Wayward,Open Play,Normal,Right Foot,,,,,,0.0,2.2641097915268014,2.0,13.14229009471541,1.9422495009381748,1
a3bd5122-8a10-4c89-b347-c525353081bc,3941019,Belgium,Arthur Theate,89,40,2,88.7,26.5,From Free Kick,0.005724137,Wayward,Open Play,Half Volley,Left Foot,,,,,,,,,,,0
64241711-4e5c-43c3-a993-2ca464e9dbc7,3942227,Switzerland,Breel-Donald Embolo,9,58,1,115.2,59.1,From Throw In,0.008929583,Off T,Open Play,Normal,Right Foot,True,,,,,0.0,1.88694727658872,3.0,15.931398921600094,2.0301202832227148,1
4b47d17b-7d2d-447f-a5a8-c70ae5a01e1e,3942227,England,Declan Rice,13,7,1,97.1,38.6,From Goal Kick,0.03981024,Blocked,Open Play,Normal,Right Foot,,,,,,3.0,4.653008463991768,1.0,21.445230272823395,1.5580446863543358,1
